Total Doors,Classroom Code,Node,Day Number,Start Time,Duration,People Count,Connection Strength,Adjusted People Count
3,250,210,3,900,90,39,1,13
3,250,210,1,1200,90,40,1,13
3,250,210,1,1030,90,37,1,12
3,250,210,2,1330,90,37,1,12
3,250,210,1,1330,90,34,1,11
3,250,210,3,1030,90,34,1,11
3,250,210,5,1200,90,19,1,6
3,250,210,2,1030,90,39,1,13
3,250,210,4,1030,90,39,1,13
3,250,210,4,1300,90,37,1,12
3,250,210,4,1430,180,55,1,18
3,250,210,5,1900,180,7,1,2
0,254,#N/A,1,900,780,2,#N/A,#DIV/0!
0,254,#N/A,2,900,780,2,#N/A,#DIV/0!
0,254,#N/A,3,900,780,2,#N/A,#DIV/0!
0,254,#N/A,4,900,780,2,#N/A,#DIV/0!
0,254,#N/A,5,900,780,2,#N/A,#DIV/0!
1,255,230,1,900,780,2,1,2
1,255,230,2,900,780,2,1,2
1,255,230,3,900,780,2,1,2
1,255,230,4,900,780,2,1,2
1,255,230,5,900,780,2,1,2
1,256,231,1,900,780,2,1,2
1,256,231,2,900,780,2,1,2
1,256,231,3,900,780,2,1,2
1,256,231,4,900,780,2,1,2
1,256,231,5,900,780,2,1,2
1,257,233,1,900,780,2,1,2
1,257,233,2,900,780,2,1,2
1,257,233,3,900,780,2,1,2
1,257,233,4,900,780,2,1,2
1,257,233,5,900,780,2,1,2
1,258,235,1,900,780,2,1,2
1,258,235,2,900,780,2,1,2
1,258,235,3,900,780,2,1,2
1,258,235,4,900,780,2,1,2
1,258,235,5,900,780,2,1,2
1,259,237,1,900,780,2,1,2
1,259,237,2,900,780,2,1,2
1,259,237,3,900,780,2,1,2
1,259,237,4,900,780,2,1,2
1,259,237,5,900,780,2,1,2
1,260,239,1,900,780,2,1,2
1,260,239,2,900,780,2,1,2
1,260,239,3,900,780,2,1,2
1,260,239,4,900,780,2,1,2
1,260,239,5,900,780,2,1,2
1,261,240,1,900,780,2,1,2
1,261,240,2,900,780,2,1,2
1,261,240,3,900,780,2,1,2
1,261,240,4,900,780,2,1,2
1,261,240,5,900,780,2,1,2
1,263,240,1,900,780,2,1,2
1,263,240,2,900,780,2,1,2
1,263,240,3,900,780,2,1,2
1,263,240,4,900,780,2,1,2
1,263,240,5,900,780,2,1,2
1,264,238,1,900,780,2,1,2
1,264,238,2,900,780,2,1,2
1,264,238,3,900,780,2,1,2
1,264,238,4,900,780,2,1,2
1,264,238,5,900,780,2,1,2
1,265,236,1,900,780,2,1,2
1,265,236,2,900,780,2,1,2
1,265,236,3,900,780,2,1,2
1,265,236,4,900,780,2,1,2
1,265,236,5,900,780,2,1,2
1,266,234,1,900,780,2,1,2
1,266,234,2,900,780,2,1,2
1,266,234,3,900,780,2,1,2
1,266,234,4,900,780,2,1,2
1,266,234,5,900,780,2,1,2
1,267,232,1,900,780,2,1,2
1,267,232,2,900,780,2,1,2
1,267,232,3,900,780,2,1,2
1,267,232,4,900,780,2,1,2
1,267,232,5,900,780,2,1,2
1,268,230,1,900,780,2,1,2
1,268,230,2,900,780,2,1,2
1,268,230,3,900,780,2,1,2
1,268,230,4,900,780,2,1,2
1,268,230,5,900,780,2,1,2
1,302,311,1,1330,120,37,1,37
1,302,311,3,1300,120,37,1,37
2,305,306,2,1500,180,44,1,22
2,305,306,3,1500,180,44,1,22
2,305,306,2,1330,90,40,1,20
2,305,306,4,1330,90,40,1,20
2,305,306,1,1330,90,39,1,20
2,305,306,3,1330,90,39,1,20
2,305,306,1,1030,90,34,1,17
2,305,306,2,1030,90,34,1,17
2,305,306,5,1200,180,15,1,8
2,305,306,5,1500,230,8,1,4
2,305,308,2,1500,180,44,1,22
2,305,308,3,1500,180,44,1,22
2,305,308,2,1330,90,40,1,20
2,305,308,4,1330,90,40,1,20
2,305,308,1,1330,90,39,1,20
2,305,308,3,1330,90,39,1,20
2,305,308,1,1030,90,34,1,17
2,305,308,2,1030,90,34,1,17
2,305,308,5,1200,180,15,1,8
2,305,308,5,1500,230,8,1,4
1,314,302,1,900,780,6,1,6
1,314,302,2,900,780,6,1,6
1,314,302,3,900,780,6,1,6
1,314,302,4,900,780,6,1,6
1,314,302,5,900,780,6,1,6
2,317,304,1,900,780,5,2,5
2,317,304,2,900,780,5,2,5
2,317,304,3,900,780,5,2,5
2,317,304,4,900,780,5,2,5
2,317,304,5,900,780,5,2,5
2,318,305,5,1600,220,25,1,13
2,318,305,1,1030,90,41,1,21
2,318,305,1,900,90,45,1,23
2,318,305,2,1400,120,45,1,23
2,318,305,5,1400,120,45,1,23
2,318,305,2,1600,120,45,1,23
2,318,305,4,1630,115,45,1,23
2,318,305,3,1730,155,13,1,7
2,318,305,3,930,240,31,1,16
2,318,305,2,1030,90,48,1,24
2,318,305,4,1030,90,48,1,24
2,318,305,1,1330,120,40,1,20
2,318,305,4,1330,120,40,1,20
2,318,305,2,1200,90,28,1,14
2,318,305,4,1200,90,28,1,14
2,318,305,1,1630,165,36,1,18
2,318,308,5,1600,220,25,1,13
2,318,308,1,1030,90,41,1,21
2,318,308,1,900,90,45,1,23
2,318,308,2,1400,120,45,1,23
2,318,308,5,1400,120,45,1,23
2,318,308,2,1600,120,45,1,23
2,318,308,4,1630,115,45,1,23
2,318,308,3,1730,155,13,1,7
2,318,308,3,930,240,31,1,16
2,318,308,2,1030,90,48,1,24
2,318,308,4,1030,90,48,1,24
2,318,308,1,1330,120,40,1,20
2,318,308,4,1330,120,40,1,20
2,318,308,2,1200,90,28,1,14
2,318,308,4,1200,90,28,1,14
2,318,308,1,1630,165,36,1,18
1,322,318,1,900,780,7,1,7
1,322,318,2,900,780,7,1,7
1,322,318,3,900,780,7,1,7
1,322,318,4,900,780,7,1,7
1,322,318,5,900,780,7,1,7
1,325,324,1,900,780,5,1,5
1,325,324,2,900,780,5,1,5
1,325,324,3,900,780,5,1,5
1,325,324,4,900,780,5,1,5
1,325,324,5,900,780,5,1,5
1,326,328,2,1500,120,60,1,60
1,326,328,4,1500,120,60,1,60
1,326,328,2,1030,90,32,1,32
1,326,328,4,1200,90,32,1,32
1,326,328,3,1130,90,16,1,16
1,326,328,5,1130,90,16,1,16
