Node,Classroom Code,Day Number,Start Time,End Time,People Count,Door Count
218,230,4,900,2200,3,1
218,230,5,900,2200,3,1
218,244,1,900,2200,3,1
218,244,2,900,2200,3,1
218,244,3,900,2200,3,1
218,244,4,900,2200,3,1
218,244,5,900,2200,3,1
219,231,1,900,2200,3,1
219,231,2,900,2200,3,1
219,231,3,900,2200,3,1
219,231,4,900,2200,3,1
219,231,5,900,2200,3,1
219,243,1,900,2200,3,1
219,243,2,900,2200,3,1
219,243,3,900,2200,3,1
219,243,4,900,2200,3,1
219,243,5,900,2200,3,1
220,240,2,1500,2030,14,1
220,240,3,1500,2030,24,1
220,240,4,1500,2030,23,1
220,240,5,1500,2030,25,1
221,233,1,900,2200,3,1
221,233,2,900,2200,3,1
221,233,3,900,2200,3,1
221,233,4,900,2200,3,1
221,233,5,900,2200,3,1
223,238,1,900,2200,3,1
223,238,2,900,2200,3,1
223,238,3,900,2200,3,1
223,238,4,900,2200,3,1
223,238,5,900,2200,3,1
224,236,1,900,2200,1,1
224,236,2,900,2200,1,1
224,236,3,900,2200,1,1
224,236,4,900,2200,1,1
224,236,5,900,2200,1,1
225,237,1,900,2200,1,1
225,237,2,900,2200,1,1
225,237,3,900,2200,1,1
225,237,4,900,2200,1,1
225,237,5,900,2200,1,1
230,255,1,900,2200,2,1
230,255,2,900,2200,2,1
230,255,3,900,2200,2,1
230,255,4,900,2200,2,1
230,255,5,900,2200,2,1
230,268,1,900,2200,2,1
230,268,2,900,2200,2,1
230,268,3,900,2200,2,1
230,268,4,900,2200,2,1
230,268,5,900,2200,2,1
231,256,1,900,2200,2,1
231,256,2,900,2200,2,1
231,256,3,900,2200,2,1
231,256,4,900,2200,2,1
231,256,5,900,2200,2,1
232,267,1,900,2200,2,1
232,267,2,900,2200,2,1
232,267,3,900,2200,2,1
232,267,4,900,2200,2,1
232,267,5,900,2200,2,1
233,257,1,900,2200,2,1
233,257,2,900,2200,2,1
233,257,3,900,2200,2,1
233,257,4,900,2200,2,1
233,257,5,900,2200,2,1
234,266,1,900,2200,2,1
